"lb" "mle" "ub" "ce" "Z" "cZ"
"Gdpd2" -8.52065658810689 -5.58881776209162 -1.14524954141222 -1.14524954141222 -2.53847960691924 -0.000159035379003905
"Tmem30a" -8.65808653307636 -5.58881776209162 -0.962009614786263 -0.962009614786263 -2.43184371466031 -0.000159035379003905
"Pdzd11" -8.38322664313742 -5.45138781712215 -0.870389651473285 -0.870389651473285 -2.40334470341668 -0.000159035379003905
"Psmc6" -8.56646656976338 -5.35976785380917 -0.870389651473285 -0.870389651473285 -2.36817604167746 -0.000159035379003905
"Pabpc1" -8.38322664313742 -5.31395787215268 -0.732959706503817 -0.732959706503817 -2.33342399237765 -0.000159035379003905
"Khsrp" -6.32177746859544 -3.06926877098474 -0.458099816564885 -0.458099816564885 -2.31724978625709 -0.000159035379003905
"Zfp329" -8.38322664313742 -5.26814789049619 -0.732959706503817 -0.732959706503817 -2.31381725867304 -0.000159035379003905
"Pxdn" -8.38322664313742 -4.30613827570992 -0.549719779877864 -0.549719779877864 -2.23468377866608 -0.000159035379003905
"Srr" -7.92512682657253 -3.75641849583208 -0.458099816564885 -0.458099816564885 -2.23311517914673 -0.000159035379003905
"Nr1d2" -8.4748466064504 -5.17652792718321 -0.549719779877864 -0.549719779877864 -2.20857329804416 -0.000159035379003905
"Iqsec1" -8.19998671651147 -3.71060851417559 -0.320669871595419 -0.320669871595419 -2.13838218333212 -0.000159035379003905
"Tmod2" -7.78769688160306 -3.61898855086261 -0.27485988993893 -0.27485988993893 -2.10835407458876 -0.000159035379003905
"9430041J12Rik" -7.92512682657253 -4.90166803724428 -0.320669871595419 -0.320669871595419 -2.10490202730333 -0.000159035379003905
"Snx15" -7.87931684491604 -4.85585805558779 -0.320669871595419 -0.320669871595419 -2.10004925928364 -0.000159035379003905
"Ndel1" -7.97093680822902 -4.71842811061832 -0.27485988993893 -0.27485988993893 -2.08048639974157 -0.000159035379003905
"Klf15" -8.01674678988551 -4.62680814730534 -0.229049908282444 -0.229049908282444 -2.06605610847717 -0.000159035379003905
"Tlk1" -8.52065658810689 -4.12289834908399 -0.137429944969467 -0.137429944969467 -2.01593641717901 -0.000159035379003905
"Cs" -8.19998671651147 -3.6647985325191 -0.137429944969467 -0.137429944969467 -2.00892327702161 -0.000159035379003905
"Fbxo18" -7.69607691829008 -4.76423809227481 -0.0916199633129777 -0.0916199633129777 -1.99979946320437 -0.000159035379003905
"Slc24a6" -8.15417673485498 -3.52736858754963 -0.0916199633129777 -0.0916199633129777 -1.9982755553292 -0.000159035379003905
"Prom1" -7.97093680822902 -4.71842811061832 -0.0916199633129777 -0.0916199633129777 -1.98380598388859 -0.000159035379003905
"Rnf2" -7.78769688160306 -4.53518818399236 -0.0916199633129777 -0.0916199633129777 -1.98224963260023 -0.000159035379003905
"Zfp281" -8.062556771542 -4.76423809227481 -0.0458099816564889 -0.0458099816564889 -1.96511417413199 -0.000159035379003905
"Zhx1" -7.78769688160306 -4.62680814730534 -0.0458099816564889 -0.0458099816564889 -1.96226081920779 -0.000159035379003905
"Ankrd13c" -7.97093680822902 -4.62680814730534 -0.0458099816564889 -0.0458099816564889 -1.96148775145175 -0.000159035379003905
"Timmdc1" -7.69607691829008 -4.58099816564885 0 0 -1.95564792648911 -0.000159035379003905
"Xpo6" -7.69607691829008 -4.62680814730534 0.0458099816564889 0 -1.93426208229891 -0.000159035379003905
"Rdh13" -7.92512682657253 -2.79440888104581 0.0458099816564889 0 -1.91586211101328 -0.000159035379003905
"Kdm6b" -7.69607691829008 -3.06926877098474 0.0458099816564889 0 -1.90739231011257 -0.000159035379003905
"Cdkn1b" -7.14635713841225 -2.88602884435879 0.0916199633129777 0 -1.88287235946226 -0.000159035379003905
"Chd2" -7.55864697332062 -3.06926877098474 0.0916199633129777 0 -1.88157996297348 -0.000159035379003905
"Trp53bp1" -7.69607691829008 -3.6647985325191 0.137429944969467 0 -1.88020109602978 -0.000159035379003905
"Ipo9" -7.74188689994657 -4.53518818399236 0.183239926625955 0 -1.86682258503227 -0.000159035379003905
"Shroom2" -7.46702701000764 -4.48937820233587 0.183239926625955 0 -1.86375392318738 -0.000159035379003905
"Ttc8" -7.46702701000764 -2.93183882601528 0.137429944969467 0 -1.86328096895435 -0.000159035379003905
"Sub1" -6.32177746859544 -2.61116895441985 0.137429944969467 0 -1.85234368489099 -0.000159035379003905
"Insig1" -5.81786767037406 -2.51954899110688 0.137429944969467 0 -1.84483667723094 -0.000159035379003905
"Rsbn1l" -7.51283699166413 -4.3977582390229 0.229049908282444 0 -1.84069654640351 -0.000159035379003905
"Lars2" -6.00110759700002 -2.47373900945039 0.137429944969467 0 -1.82693090856009 -0.000159035379003905
"Chfr" -7.51283699166413 -4.35194825736641 0.274859889938933 0 -1.8227668303097 -0.000159035379003905
"Ncbp1" -7.92512682657253 -3.89384844080155 0.320669871595422 0 -1.81169434211834 -0.000159035379003905
"Slmo1" -7.83350686325955 -3.38993864258017 0.274859889938933 0 -1.79919474874824 -0.000159035379003905
