var	rel.inf
Dlx2	Dlx2	4.37261789953765
Bcan	Bcan	4.17054786708988
Aldoc	Aldoc	4.11785408366174
Clu	Clu	3.71570333393576
Jag1	Jag1	3.03083640869366
Nrxn3	Nrxn3	2.99529940252714
Ptma	Ptma	2.56093323339367
Gja1	Gja1	2.30319985270334
Tmsb4x	Tmsb4x	1.93693612736683
Abracl	Abracl	1.83943439892658
Slc1a2	Slc1a2	1.70671792847126
Rpl7	Rpl7	1.26525867471582
Dync1h1	Dync1h1	1.16047585586048
Ube2k	Ube2k	1.06993978710331
Rcor2	Rcor2	1.04424205871973
Skil	Skil	1.01232182961398
Nras	Nras	0.995744211485431
Ntm	Ntm	0.973693386811552
Fam120a	Fam120a	0.969599567518918
Rpl35	Rpl35	0.969200093608649
Set	Set	0.829838145194648
Rplp1	Rplp1	0.708095985312415
Sox11	Sox11	0.6976821076832
Rpl8	Rpl8	0.689343230832307
Rab8b	Rab8b	0.64997975791692
Tmx1	Tmx1	0.595068875724316
Trim67	Trim67	0.519840180656683
Lyrm2	Lyrm2	0.515704900824585
Htra1	Htra1	0.513419070687531
Ilf2	Ilf2	0.512006074051328
Myh9	Myh9	0.495397771541583
Map3k1	Map3k1	0.483033055067161
Rnd3	Rnd3	0.467518744213444
Khsrp	Khsrp	0.458307856845407
Pdcd4	Pdcd4	0.431008328020805
Marcks	Marcks	0.430902023246353
Sri	Sri	0.422304754679145
Rhno1	Rhno1	0.415124230371955
Eif4a1	Eif4a1	0.398318167791155
Lsm2	Lsm2	0.349081895344266
Tubb5	Tubb5	0.339354709466204
Fis1	Fis1	0.335701355425331
Dek	Dek	0.332712772045259
Ndufa4	Ndufa4	0.331930402032196
Neil3	Neil3	0.317132605185337
Apoe	Apoe	0.306330520409741
Eif4a3	Eif4a3	0.304012430800627
Ccnd2	Ccnd2	0.301040669268131
Nrf1	Nrf1	0.295621163940734
Malat1	Malat1	0.294463946020522
Ncam1	Ncam1	0.271943968247548
Rrm2	Rrm2	0.268108248239081
Rps11	Rps11	0.264904094783113
Zwilch	Zwilch	0.256842026798369
Larp7	Larp7	0.254809775122037
Pnrc2	Pnrc2	0.251497427220152
Cbx3	Cbx3	0.248368914351498
Rad21	Rad21	0.247650425632219
Nono	Nono	0.24670432670723
Ddx5	Ddx5	0.245682919104342
Sars	Sars	0.235433072924919
Dhfr	Dhfr	0.235413561969761
Aarsd1	Aarsd1	0.232473594983648
Grlf1	Grlf1	0.232336632623591
Ezh2	Ezh2	0.228604952894062
Mettl9	Mettl9	0.227216322434169
Cenpq	Cenpq	0.219215458916689
Mphosph8	Mphosph8	0.215665386204479
Calm2	Calm2	0.212421258705514
Tead2	Tead2	0.209853947575686
Mad2l1	Mad2l1	0.203675512677151
Hmmr	Hmmr	0.202172906895231
Gas5	Gas5	0.202144336415047
Dpysl2	Dpysl2	0.201439740949671
Dlx1	Dlx1	0.194183024656914
Ndufv2	Ndufv2	0.192987103588348
Rsrc1	Rsrc1	0.188450117991833
Znhit3	Znhit3	0.187964582952836
Tardbp	Tardbp	0.186340456110786
Hmgb3	Hmgb3	0.185534236281781
Rps19	Rps19	0.184432877446636
Lars2	Lars2	0.181700719714423
Fubp1	Fubp1	0.181354183872562
Mfap2	Mfap2	0.17956614035532
Hat1	Hat1	0.175948120146045
Mt3	Mt3	0.175185239690357
Hdgfrp2	Hdgfrp2	0.174866295454654
Eif4ebp1	Eif4ebp1	0.171960267328438
X1700123O20Rik	X1700123O20Rik	0.170424742601599
Drg1	Drg1	0.170082300103446
Nfia	Nfia	0.163597374409117
Eef1a1	Eef1a1	0.162943631401627
Atp1a2	Atp1a2	0.160664368734189
Gnb1	Gnb1	0.155772617181781
Eef2	Eef2	0.155433532449701
Trp53	Trp53	0.15438990316975
Hnrnpul1	Hnrnpul1	0.153806374910879
Mkln1	Mkln1	0.149984202919589
Slc25a4	Slc25a4	0.148688326045696
Dennd1a	Dennd1a	0.147149007253018
Mll2	Mll2	0.147082008704791
Glyctk	Glyctk	0.145029020439483
Hnrpdl	Hnrpdl	0.144530314503158
Ipo5	Ipo5	0.142710347799807
Birc5	Birc5	0.141118709369456
X5430416N02Rik	X5430416N02Rik	0.136654486345835
Gls	Gls	0.136482224885299
Rps20	Rps20	0.135744895702317
Purb	Purb	0.135622315213895
Nde1	Nde1	0.135093564450117
Ptprz1	Ptprz1	0.134873717022165
Mdh2	Mdh2	0.134090896723621
Sncaip	Sncaip	0.133029742933684
Hdgf	Hdgf	0.132485069244394
Zfp326	Zfp326	0.132290972363087
Vprbp	Vprbp	0.131772041192579
Ubap2	Ubap2	0.127582694196344
Tnpo1	Tnpo1	0.125114234291161
Tubb3	Tubb3	0.124781425770612
Hepacam	Hepacam	0.122991892326582
Zfp36l1	Zfp36l1	0.122566945130651
Nsmce1	Nsmce1	0.122163181930421
Pbk	Pbk	0.12137624670996
Hnrnpk	Hnrnpk	0.118248202676812
Rmst	Rmst	0.117845203068653
Rps9	Rps9	0.117205427262204
Qars	Qars	0.117154185219369
Tjp1	Tjp1	0.116620479581199
Mt1	Mt1	0.11573091323739
Sgol2	Sgol2	0.114533262970442
Ttyh1	Ttyh1	0.114527942448726
Mrpl36	Mrpl36	0.113553858549526
Snhg3	Snhg3	0.113419937478491
Atp5j	Atp5j	0.113086653781266
Tcf12	Tcf12	0.111096552574236
Serbp1	Serbp1	0.109009906314628
Strap	Strap	0.108111961024492
Canx	Canx	0.106930693415009
Fmr1	Fmr1	0.10643407936562
X0610007P14Rik	X0610007P14Rik	0.105756772253731
Haus3	Haus3	0.104592157695712
Vdac3	Vdac3	0.104051792691964
Hsp90aa1	Hsp90aa1	0.103479690601838
Rpp14	Rpp14	0.10330838655762
Sod1	Sod1	0.102730456170089
Lig1	Lig1	0.101727283317338
Mir682	Mir682	0.100764632713716
G2e3	G2e3	0.100133440600969
Gria2	Gria2	0.0999759118563938
Tuba1b	Tuba1b	0.099947370135854
Parp1	Parp1	0.0998102671646213
Commd1	Commd1	0.0997698281705912
Golt1b	Golt1b	0.0979939955303485
Sf3b5	Sf3b5	0.0977312476126875
Lrrc58	Lrrc58	0.0973084667816029
Dctpp1	Dctpp1	0.0972114820019369
Cyp2d22	Cyp2d22	0.0962439586055209
Nmral1	Nmral1	0.0954089654835091
Mms22l	Mms22l	0.0952291179200276
Rbm45	Rbm45	0.0944619036775882
Fam89b	Fam89b	0.0940800111182672
Cenpj	Cenpj	0.0939759978399605
Ube2c	Ube2c	0.093259496322595
Rbm26	Rbm26	0.092765583352793
Tmem55a	Tmem55a	0.0926591800867949
Hsp90ab1	Hsp90ab1	0.0925627029688591
Hnrnpf	Hnrnpf	0.0914786904952792
Gtf2e2	Gtf2e2	0.0907786299766355
Bcl7b	Bcl7b	0.0901956686887514
Ckap2l	Ckap2l	0.0898987801122549
Syncrip	Syncrip	0.0895353105872915
Cfdp1	Cfdp1	0.0891573807575222
Ptges3	Ptges3	0.0877706376865172
Nucks1	Nucks1	0.0871556058943156
Inpp5f	Inpp5f	0.0870593888117818
Itpa	Itpa	0.0868529767882218
M6pr	M6pr	0.0866992386143018
Asxl2	Asxl2	0.0839210376289599
Hspa8	Hspa8	0.0838929649340509
Ncl	Ncl	0.0821582120966967
Herc2	Herc2	0.0817994609583299
Brd8	Brd8	0.0816754025322077
Cldn10	Cldn10	0.0810925622920026
Mrps14	Mrps14	0.0801050341987626
Gm13826	Gm13826	0.079980514348626
Rad23b	Rad23b	0.0798410090386665
