"lb" "mle" "ub" "ce" "Z" "cZ"
"Marcks" -9.27598277137616 -7.26915957564576 -5.26233637991532 -5.26233637991532 -7.16073281277289 -6.05406871216482
"Ccnd2" -10.9260373989767 -7.93810064088923 -5.6637010190614 -5.6637010190614 -7.16054330026123 -6.05406871216482
"Tmsb4x" -9.72194348153848 -7.17996743361327 -5.12854816686663 -5.12854816686663 -7.15948675645802 -6.05406871216482
"Jag1" -10.8814413279605 -7.71512028580808 -5.4853167349965 -5.4853167349965 -7.15717532253326 -6.05406871216482
"Tubb5" -9.81113562357093 -7.09077529158082 -4.6379913856881 -4.6379913856881 -6.47169637756809 -5.27786521646674
"Set" -8.16108099597037 -6.02046958719127 -4.05824246247708 -4.05824246247708 -6.32011894921792 -5.12211063535835
"Ascl1" -11.371998109139 -7.26915957564576 -4.72718352772055 -4.72718352772055 -6.12717128910429 -4.91127974281366
"Dpysl2" -7.40294778869445 -5.4853167349965 -3.61228175231476 -3.61228175231476 -5.79186620165599 -4.55797136911766
"Sox11" -9.14219455832747 -6.15425780023997 -3.96905032044463 -3.96905032044463 -5.7904181111837 -4.55797136911766
"Eef1a1" -7.44754385971066 -5.03935602483418 -3.12172497113621 -3.12172497113621 -5.31909558900222 -4.01760756835949
"Usp22" -7.75971635682429 -5.39612459296402 -3.30010925520114 -3.30010925520114 -5.18938905702551 -3.87481497085042
"Rpl4" -7.35835171767821 -4.95016388280169 -2.94334068707129 -2.94334068707129 -5.04697120094412 -3.702865383637
"Zfp367" -8.83002206121387 -5.6637010190614 -3.34470532621737 -3.34470532621737 -5.03646924498025 -3.702865383637
"Calm2" -9.85573169458718 -6.10966172922373 -3.56768568129852 -3.56768568129852 -4.99648332115056 -3.68918032187531
"Nfib" -6.73400672345098 -4.6379913856881 -2.72036033199013 -2.72036033199013 -4.85977741528788 -3.51956699886986
"Mfap2" -9.58815526848979 -5.39612459296402 -3.07712890011998 -3.07712890011998 -4.77898408015039 -3.46612007708287
"Sh3bgrl" -10.0787120496684 -6.10966172922373 -3.43389746824982 -3.43389746824982 -4.70708762193125 -3.39575101709329
"H2afz" -10.2570963337333 -6.51102636836981 -3.61228175231476 -3.61228175231476 -4.7051058647578 -3.39575101709329
"Egfr" -10.390884546782 -6.4664302973536 -3.74606996536345 -3.74606996536345 -4.63321757395804 -3.30795964770411
"Mrfap1" -7.44754385971066 -4.72718352772055 -2.63116818995766 -2.63116818995766 -4.57935348759746 -3.24380421633557
"Prdx2" -6.82319886548343 -4.41501103060692 -2.45278390589274 -2.45278390589274 -4.54689638288201 -3.21692198662975
"Hsp90ab1" -6.55562243938605 -4.32581888857447 -2.40818783487651 -2.40818783487651 -4.53890323109975 -3.21435484275486
"Gsk3b" -6.37723815532111 -4.37041495959071 -2.45278390589274 -2.45278390589274 -4.52123676881131 -3.20495672996479
"Egr1" -9.67734741052224 -5.26233637991532 -2.85414854503882 -2.85414854503882 -4.52025398091656 -3.20495672996479
"Rplp0" -7.84890849885677 -4.816375669753 -2.63116818995766 -2.63116818995766 -4.44788276861851 -3.11383978977207
"Cbx5" -6.95698707853213 -4.54879924365561 -2.49737997690897 -2.49737997690897 -4.43250012623397 -3.10038790378758
"Ptp4a2" -6.6448145814185 -4.37041495959071 -2.40818783487651 -2.40818783487651 -4.36806695938497 -3.01903025467722
"Miat" -10.2570963337333 -6.06506565820748 -3.21091711316867 -3.21091711316867 -4.36120216795905 -3.01864382955735
"H3f3b" -7.58133207275939 -4.95016388280169 -2.72036033199013 -2.72036033199013 -4.35526493666912 -3.01864382955735
"Ptma" -7.00158314954837 -4.41501103060692 -2.36359176386027 -2.36359176386027 -4.34229526490598 -3.01225432641847
"Top2a" -9.76653955255473 -5.97587351617503 -3.16632104215245 -3.16632104215245 -4.33262553050474 -3.00571989637039
"Rps11" -7.09077529158082 -4.41501103060692 -2.36359176386027 -2.36359176386027 -4.28724541499187 -2.96268216441193
"Nop58" -9.94492383661966 -6.3326420843049 -3.21091711316867 -3.21091711316867 -4.26591741744389 -2.93947349434282
"Rpl8" -6.77860279446719 -4.37041495959071 -2.31899569284404 -2.31899569284404 -4.25374018679887 -2.93768991527174
"Fubp1" -6.77860279446719 -4.37041495959071 -2.31899569284404 -2.31899569284404 -4.24908069656888 -2.93768991527174
"Uhrf1" -10.0341159786521 -7.26915957564576 -3.52308961028231 -3.52308961028231 -4.24854249660579 -2.93768991527174
"Lrrc58" -6.82319886548343 -4.54879924365561 -2.45278390589274 -2.45278390589274 -4.24707793775754 -2.93768991527174
"Dnaja1" -7.35835171767821 -4.54879924365561 -2.36359176386027 -2.36359176386027 -4.17052512358763 -2.84285244962285
"Eif4a1" -7.04617922056458 -4.41501103060692 -2.27439962182781 -2.27439962182781 -4.13364963752634 -2.80823215002446
"Marcksl1" -9.18679062934371 -5.30693245093156 -2.72036033199013 -2.72036033199013 -4.10994062023252 -2.78315783288015
"Npm1" -7.40294778869445 -4.5042031726394 -2.31899569284404 -2.31899569284404 -4.1079686255825 -2.78315783288015
"Skil" -6.6448145814185 -4.19203067552577 -2.14061140877912 -2.14061140877912 -4.09348578521649 -2.76818055319675
"Atpif1" -9.67734741052224 -5.30693245093156 -2.67576426097389 -2.67576426097389 -4.08409997375905 -2.76550880303337
"Fabp7" -6.55562243938605 -4.10283853349332 -2.05141926674665 -2.05141926674665 -4.00574920222206 -2.67101916713013
"Mycn" -9.94492383661966 -7.17996743361327 -3.43389746824982 -3.43389746824982 -4.00274107258257 -2.67101916713013
"Anp32b" -9.4543670554411 -6.73400672345098 -3.03253282910375 -3.03253282910375 -3.9512977945856 -2.617453220538
"5430417L22Rik" -9.98951990763587 -7.22456350462951 -3.43389746824982 -3.43389746824982 -3.94274390183448 -2.61002922543126
"Rps15a" -9.54355919747355 -5.57450887702895 -2.72036033199013 -2.72036033199013 -3.93185970749016 -2.60596970827464
"Hn1" -9.23138670035995 -5.35152852194781 -2.72036033199013 -2.72036033199013 -3.92823033617629 -2.60596970827464
"Cfl1" -6.24344994227242 -3.92445424942839 -1.91763105369796 -1.91763105369796 -3.92690953497055 -2.60596970827464
"Rps5" -6.37723815532111 -4.01364639146084 -1.96222712471419 -1.96222712471419 -3.88620955925575 -2.56125001625617
"Coro1c" -10.0787120496684 -7.22456350462951 -3.43389746824982 -3.43389746824982 -3.87423582905571 -2.54974750855196
"Rpl32" -6.55562243938605 -4.05824246247708 -1.96222712471419 -1.96222712471419 -3.85975630928036 -2.5363795234613
"Spcs3" -9.85573169458718 -5.44072066398026 -2.72036033199013 -2.72036033199013 -3.84143486534796 -2.51611141564589
"l7Rn6" -9.27598277137616 -6.55562243938605 -2.85414854503882 -2.85414854503882 -3.81663413281781 -2.48709531923649
"Actb" -3.92445424942839 -2.80955247402259 -1.47167034353564 -1.47167034353564 -3.81270832822701 -2.48686702327169
"Rps26" -8.65163777714894 -4.77177959873679 -2.27439962182781 -2.27439962182781 -3.80655941913307 -2.48686702327169
"Gas1" -8.07188885393792 -4.816375669753 -2.27439962182781 -2.27439962182781 -3.80510891812755 -2.48686702327169
"Igfbp5" -6.28804601328866 -3.96905032044463 -1.87303498268173 -1.87303498268173 -3.79905648569883 -2.48214511243087
"Rps3" -6.86779493649968 -4.01364639146084 -1.91763105369796 -1.91763105369796 -3.79311534922991 -2.48106386074238
"Ncl" -7.40294778869445 -4.5042031726394 -2.14061140877912 -2.14061140877912 -3.792852076734 -2.48106386074238
"Rps9" -6.68941065243474 -4.14743460450953 -1.96222712471419 -1.96222712471419 -3.77431233115924 -2.45826930600461
"Rpl18a" -7.00158314954837 -4.14743460450953 -1.96222712471419 -1.96222712471419 -3.75715802037836 -2.44120502662278
"Hes6" -9.3205788423924 -6.6448145814185 -2.94334068707129 -2.94334068707129 -3.75133285976675 -2.43658581830146
