"lb" "mle" "ub" "ce" "Z" "cZ"
"Aldoa" -7.16936885038776 -5.35489895615381 -4.11574878448186 -4.11574878448186 -7.1608466438477 -6.22351639498606
"Ccnd1" -6.81532594419577 -5.13362213978382 -3.89447196811186 -3.89447196811186 -7.1608466438477 -6.22351639498606
"Fabp7" -6.85958130746976 -5.75319722561981 -4.69106850704382 -4.69106850704382 -7.1608466438477 -6.22351639498606
"Ptn" -7.70043320967572 -5.39915431942781 -3.98298269465986 -3.98298269465986 -7.1608466438477 -6.22351639498606
"Serpine2" -11.8604373574316 -9.16086019771768 -7.21362421366173 -7.21362421366173 -7.1608466438477 -6.22351639498606
"Vim" -6.41702767472977 -5.08936677650982 -3.89447196811186 -3.89447196811186 -7.1608466438477 -6.22351639498606
"Rab31" -6.10724013181177 -4.64681314376982 -3.40766297209787 -3.40766297209787 -7.1608086898456 -6.22351639498606
"Mt1" -6.41702767472977 -4.86808996013982 -3.67319515174186 -3.67319515174186 -7.16077074615588 -6.22351639498606
"Sdc4" -6.46128303800377 -4.55830241722185 -3.27489688227588 -3.27489688227588 -7.16073281277289 -6.22351639498606
"Tnc" -6.99234739729176 -4.55830241722185 -3.09787542917989 -3.09787542917989 -7.16073281277289 -6.22351639498606
"Tagln2" -8.05447611586772 -5.13362213978382 -3.54042906191987 -3.54042906191987 -7.1606569769045 -6.22351639498606
"Tubb2a" -6.24000622163377 -4.42553632739986 -3.05362006590589 -3.05362006590589 -7.1589240213819 -6.22351639498606
"Trim9" -8.27575293223772 -5.57617577252381 -3.71745051501586 -3.71745051501586 -7.13955109246751 -6.21930578164225
"Ddah1" -6.28426158490777 -4.38128096412586 -3.05362006590589 -3.05362006590589 -7.13690325963768 -6.21930578164225
"Olig1" -8.09873147914172 -5.26638822960581 -3.45191833537187 -3.45191833537187 -7.08079500693392 -6.17546877881581
"Aldh1l1" -8.05447611586772 -5.35489895615381 -3.49617369864587 -3.49617369864587 -7.07472364431865 -6.17546877881581
"Ckb" -5.48766504597581 -4.38128096412586 -3.23064151900188 -3.23064151900188 -6.86495709326134 -5.94388227333685
"Aldoc" -7.21362421366173 -4.46979169067386 -2.92085397608389 -2.92085397608389 -6.74677020503513 -5.81605401810977
"Cdkn1a" -5.70894186234581 -3.71745051501586 -2.52255570661791 -2.52255570661791 -6.7030461631683 -5.77346448622383
"Slc1a3" -4.82383459686582 -3.67319515174186 -2.56681106989191 -2.56681106989191 -6.51377063898605 -5.57652821320861
"Acadl" -6.06298476853777 -3.93872733138586 -2.56681106989191 -2.56681106989191 -6.3946188072592 -5.45168779929379
"Sparcl1" -6.10724013181177 -3.85021660483786 -2.52255570661791 -2.52255570661791 -6.3863034505473 -5.44848385409682
"Ramp1" -7.74468857294972 -5.04511141323582 -3.18638615572789 -3.18638615572789 -6.37962607829418 -5.44696617890992
"Dusp3" -7.12511348711376 -4.20425951102986 -2.65532179643991 -2.65532179643991 -6.22868301010748 -5.28421868332899
"Pbxip1" -7.52341175657973 -4.82383459686582 -2.9651093393579 -2.9651093393579 -6.22356445413098 -5.28421868332899
"Car2" -7.74468857294972 -5.00085604996182 -3.14213079245389 -3.14213079245389 -6.20690732872057 -5.27462549032406
