"lb" "mle" "ub" "ce" "Z" "cZ"
"Mt1" -6.17896224819402 -4.69059907892099 -3.51794930919076 -3.51794930919076 -7.1608466438477 -6.23513633087505
"Fabp7" -7.48691776058544 -6.22406416241441 -5.14161822112495 -5.14161822112495 -7.1608086898456 -6.23513633087505
"Igfbp3" -8.70466944453609 -5.95345267709206 -4.10427419405587 -4.10427419405587 -7.1608086898456 -6.23513633087505
"Ptn" -7.53201967480583 -5.27692396378614 -3.9238665371743 -3.9238665371743 -7.1608086898456 -6.23513633087505
"Serpine2" -11.6813957830821 -8.88507710141767 -6.9907967041611 -6.9907967041611 -7.1608086898456 -6.23513633087505
"Aldoa" -6.53977756195717 -4.82590482158218 -3.51794930919076 -3.51794930919076 -7.16077074615588 -6.23513633087505
"Ccnd1" -6.40447181929598 -4.7808029073618 -3.60815313763153 -3.60815313763153 -7.16077074615588 -6.23513633087505
"Vim" -6.31426799085521 -5.05141439268414 -3.87876462295391 -3.87876462295391 -7.16077074615588 -6.23513633087505
"Igfbp2" -8.5693637018749 -5.81814693443087 -3.96896845139468 -3.96896845139468 -7.1606569769045 -6.23513633087505
"Scd1" -8.11834455967098 -5.18672013534533 -3.65325505185195 -3.65325505185195 -7.16061907440781 -6.23513633087505
"Tnc" -6.85549096149994 -4.51019142203941 -3.02182825276642 -3.02182825276642 -7.16008951673273 -6.23513633087505
"Sept9" -8.43405795921375 -5.68284119176968 -3.83366270873353 -3.83366270873353 -7.15997630085588 -6.23513633087505
"Tagln2" -7.75752924590783 -4.91610865002299 -3.42774548074995 -3.42774548074995 -7.15802833416281 -6.23513633087505
"Tubb2a" -6.22406416241441 -4.23957993671707 -3.02182825276642 -3.02182825276642 -7.15018027685006 -6.23513633087505
"Sdc4" -6.49467564773679 -4.51019142203941 -3.1571339954276 -3.1571339954276 -7.14958366471022 -6.23513633087505
"Rab31" -6.13386033397364 -4.73570099314141 -3.29243973808878 -3.29243973808878 -7.14274931769293 -6.23513633087505
"Ptrf" -8.29875221655256 -5.54753544910849 -3.65325505185195 -3.65325505185195 -7.08433807175334 -6.18608056566762
"Grm5" -8.20854838811175 -5.4122297064473 -3.56305122341115 -3.56305122341115 -7.06577965218932 -6.17304962014975
"Xist" -8.29875221655256 -5.54753544910849 -3.65325505185195 -3.65325505185195 -7.01290899337144 -6.12058584778451
"Tubb6" -8.11834455967098 -5.36712779222691 -3.51794930919076 -3.51794930919076 -6.98158047457094 -6.09232138567073
"Acadl" -6.90059287572033 -4.32978376515784 -2.93162442432563 -2.93162442432563 -6.97137413478496 -6.08781307802743
"Ckb" -5.63773927754929 -4.51019142203941 -3.33754165230918 -3.33754165230918 -6.89941802458033 -6.01266763767596
"Aldh1l1" -7.98303881700979 -5.23182204956572 -3.38264356652957 -3.38264356652957 -6.76250623041367 -5.87558952470353
"Ddah1" -5.59263736332887 -3.87876462295391 -2.57080911056247 -2.57080911056247 -6.62686629665234 -5.72617637393036
"Olig1" -8.07324264545056 -5.23182204956572 -3.38264356652957 -3.38264356652957 -6.59869500072701 -5.7036456953373
"Akap12" -6.17896224819402 -4.0140703656151 -2.75121676744405 -2.75121676744405 -6.59704739442461 -5.7036456953373
"Lgals1" -5.32202587800653 -3.56305122341115 -2.3452995394605 -2.3452995394605 -6.47676756534859 -5.57081068783701
"Fbn2" -7.66732541746702 -4.91610865002299 -3.1120320812072 -3.1120320812072 -6.41312323504345 -5.50284694216745
"Cdkn1a" -5.5024335348881 -3.60815313763153 -2.39040145368089 -2.39040145368089 -6.39171477015667 -5.48351841246436
"Ramp1" -7.62222350324664 -4.87100673580257 -3.06693016698681 -3.06693016698681 -6.34066848374999 -5.43468235076346
"Ephx1" -7.66732541746702 -4.87100673580257 -3.06693016698681 -3.06693016698681 -6.34047840660553 -5.43468235076346
"Car2" -7.71242733168741 -4.91610865002299 -3.06693016698681 -3.06693016698681 -6.29585586184919 -5.3880403953176
"Cd44" -7.80263116012821 -5.00631247846376 -3.1571339954276 -3.1571339954276 -6.26716808232787 -5.35971679538416
"Vav3" -6.90059287572033 -3.96896845139468 -2.57080911056247 -2.57080911056247 -6.25856993646236 -5.35456711317205
"Aldoc" -7.30651010370387 -4.46508950781903 -2.88652251010523 -2.88652251010523 -6.24896885999934 -5.34813819065642
"Slc1a3" -4.87100673580257 -3.74345888029272 -2.57080911056247 -2.57080911056247 -6.12231246264193 -5.21015511325885
"Camk2b" -6.90059287572033 -4.10427419405587 -2.57080911056247 -2.57080911056247 -6.03689775561882 -5.11942738555313
"Tnfrsf12a" -7.44181584636506 -4.69059907892099 -2.84142059588484 -2.84142059588484 -5.98077287471898 -5.05813899268733
"Pdlim5" -5.00631247846376 -3.24733782386839 -2.11978996835853 -2.11978996835853 -5.9443901310282 -5.01980572023168
"Pbxip1" -7.44181584636506 -4.69059907892099 -2.84142059588484 -2.84142059588484 -5.93529270274878 -5.0133639916573
"Pea15a" -4.46508950781903 -3.1571339954276 -2.07468805413814 -2.07468805413814 -5.9303878192266 -5.01175222713284
"Vcl" -6.44957373351637 -3.83366270873353 -2.43550336790129 -2.43550336790129 -5.91203049233852 -4.99429586110227
"Sulf2" -7.35161201792425 -4.60039525048022 -2.75121676744405 -2.75121676744405 -5.86980211958155 -4.94875392244016
"Trim9" -6.72018521883875 -3.83366270873353 -2.48060528212169 -2.48060528212169 -5.7859371529785 -4.85404159280609
"Timp3" -6.49467564773679 -3.69835696607234 -2.30019762524011 -2.30019762524011 -5.7338303273647 -4.79646562566605
"Fbln2" -5.63773927754929 -3.47284739497037 -2.16489188257893 -2.16489188257893 -5.69714987813079 -4.75697444171671
"S100a10" -7.30651010370387 -4.46508950781903 -2.66101293900326 -2.66101293900326 -5.68248058932021 -4.74723849712328
"Sptbn1" -4.7808029073618 -2.97672633854602 -1.84917848303616 -1.84917848303616 -5.64265381728331 -4.7074665565191
"Sparcl1" -6.04365650553283 -3.78856079451311 -2.30019762524011 -2.30019762524011 -5.58991289688198 -4.64852412826326
"Fam212b" -7.17120436104268 -4.41998759359864 -2.57080911056247 -2.57080911056247 -5.56613781919 -4.62386191730108
"Il1rap" -7.35161201792425 -4.60039525048022 -2.75121676744405 -2.75121676744405 -5.52255439308623 -4.57905533390643
