"NS_01_1g" "NS_02_1g" "NS_03_1g" "NS_04_1g" "NS_05_1g" "NS_08_1g" "NS_10_1g" "NS_11_1g" "NS_14_1g" "NS_15_1g" "NS_16_1g" "NS_17_1g" "NS_21_1g" "NS_22_1g" "NS_23_1g" "NS_24_1g" "NS_27_1g" "NS_31_1g" "NS_36_1g" "NS_37_1g" "NS_41_1g" "NS_44_1g" "NS_45_1g" "NS_46_1g" "NS_48_1g" "NS_49_1g" "NS_52_1g" "NS_54_1g" "NS_56_1g" "NS_57_1g" "NS_58_1g" "NS_59_1g" "NS_61_1g" "NS_62_1g" "NS_63_1g" "NS_65_1g" "NS_66_1g" "NS_67_1g" "NS_68_1g" "NS_69_1g" "NS_71_1g" "NS_72_1g" "NS_74_1g" "NS_75_1g" "NS_77_1g" "NS_78_1g" "NS_79_1g" "NS_81_1g" "NS_82_1g" "NS_83_1g" "NS_84_1g" "NS_85_1g" "NS_86_1g" "NS_87_1g" "NS_89_1g" "NS_90_1g" "NS_91_1g" "NS_92_1g" "NS_93_1g" "NS_94_1g" "NS_95_1g" "NS_96_1g"
"0610005C13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610007N19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610007P14Rik" 1 7 6 19 23 7 22 11 2 0 3 40 3 0 4 97 34 33 14 2 13 5 7 4 8 12 1 14 22 3 48 19 87 27 22 3 24 14 31 2 6 39 12 38 23 35 1 0 4 1 37 10 1 2 6 26 1 0 13 46 0 2
"0610008F07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009B14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009B22Rik" 3 23 0 2 0 7 0 0 0 0 0 5 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 22 0 1 0 0 12 4 2 10 0 0 14 0 0 0 0 0 3 0 0 0 4 21 0 0 0 11 0 0 0 0 2 0 0
"0610009D07Rik" 31 20 10 35 34 15 72 2 15 25 44 21 8 15 5 15 45 8 108 13 50 51 62 57 226 7 10 6 46 17 6 5 25 36 29 62 46 17 44 8 10 18 5 31 26 25 37 22 21 30 35 21 29 18 23 27 3 3 9 30 1 6
"0610009L18Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009O20Rik" 5 0 0 0 2 0 0 13 0 0 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 5 0 0 0 0 3 0 0 0 0 11 0 1 0 0 0 0 0 0 2 14 0 0 0 0 4 1 0 0 17 0 0 0 0 0 8 0
"0610010B08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610010F05Rik" 0 21 2 0 20 23 0 0 3 1 0 5 14 0 0 29 3 20 116 10 3 0 38 0 22 3 0 0 0 7 4 8 40 0 0 0 0 0 0 11 18 0 0 8 34 8 3 3 0 0 0 1 0 2 14 27 0 2 9 5 4 24
