"CD31_young" "CD31_young.1" "CD31_young.2" "CD31_young.3" "E_young" "E_young.1" "E_young.2" "E_young.3" "G_young" "G_young.1" "G_young.2" "G_young.3" "PG_young" "PG_young.1" "PGE_young" "PGE_young.1" "PGE_young.2"
"0610005C13Rik" 11 0 0 0 0 0 0 38 23 0 97 48 58 29 0 0 4
"0610007N19Rik" 282 339 596 0 127 75 25 158 80 180 339 893 581 376 312 127 321
"0610007P14Rik" 1399 1250 328 1066 4981 7166 5734 7249 6836 5317 5157 6218 5440 5286 8646 12893 10493
"0610008F07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610009B14Rik" 0 0 0 0 0 0 0 0 0 16 0 0 161 0 0 0 0
"0610009B22Rik" 2796 4692 1183 2576 5782 8961 7456 6615 3277 5929 2219 2951 4068 3457 8186 9504 9838
"0610009D07Rik" 9774 9764 10446 5931 18710 26432 21129 20409 8891 6813 4948 7217 8464 8893 22086 21181 27296
"0610009L18Rik" 18 0 0 0 0 0 0 0 120 5 0 0 0 7 74 7 11
"0610009O20Rik" 496 409 247 372 1392 545 536 916 561 296 471 206 339 551 1369 1975 1028
"0610010B08Rik" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"0610010F05Rik" 19 419 613 643 217 583 848 407 1035 361 124 171 202 46 272 543 908
"0610010K14Rik" 3997 3079 3192 3399 7115 8714 7435 5064 828 958 1345 717 549 751 8367 8799 7016
"0610011F06Rik" 47 730 7 759 981 2514 1423 1732 3325 1449 1912 1801 2533 2103 2103 1648 2248
"0610012G03Rik" 0 521 805 13 0 191 339 240 14 550 735 81 251 272 254 99 250
"0610012H03Rik" 0 0 0 23 0 0 38 0 0 0 0 0 0 0 0 0 0
"0610030E20Rik" 0 1251 120 201 103 293 331 114 454 420 136 301 90 221 264 291 426
"0610031J06Rik" 3957 3807 1266 1581 2039 1517 968 610 10189 3901 4193 6750 3249 3473 1640 1781 1375
"0610031O16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0610037L13Rik" 2374 3919 1408 1969 4634 5263 4606 4994 2588 1995 2293 2572 3281 1026 5650 6067 7477
"0610038B21Rik" 0 0 0 0 0 0 70 48 0 0 0 0 0 0 35 26 20
"0610038L08Rik" 0 0 0 0 4 0 12 0 0 0 0 0 0 0 51 0 9
"0610039K10Rik" 0 0 0 0 0 0 0 0 5 0 28 0 0 0 0 0 0
"0610040B10Rik" 0 48 0 4 778 110 61 170 147 86 0 10 127 178 56 0 132
"0610040F04Rik" 10 0 0 0 0 0 0 0 231 0 0 1 0 73 0 0 0
"0610040J01Rik" 0 0 0 0 0 0 0 0 38 44 0 176 0 15 0 0 0
"0610043K17Rik" 0 0 0 1 0 0 0 37 0 105 0 67 184 11 0 55 21
"1100001G20Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110001A16Rik" 846 1300 416 633 836 1489 1191 808 833 774 613 773 713 418 1163 1112 1327
"1110001J03Rik" 1526 805 683 974 3167 4823 4670 3020 3739 3929 4040 3206 5769 3982 4556 5321 5345
"1110002L01Rik" 0 0 0 0 108 14 83 4 110 115 136 0 32 163 18 0 44
"1110004E09Rik" 356 558 91 102 452 527 117 341 259 495 228 534 395 489 224 613 422
"1110004F10Rik" 6035 2804 4740 4071 11585 14882 13949 16151 6709 1932 3847 3987 5235 4152 15506 15131 14076
"1110006O24Rik" 0 72 0 210 0 0 5 6 68 0 0 150 0 75 48 0 74
"1110007C09Rik" 518 739 134 923 11 45 1 18 1041 188 43 268 284 225 18 0 9
"1110008F13Rik" 1 0 155 0 40 11 18 0 20 0 43 0 41 0 14 0 8
"1110008J03Rik" 14 0 356 0 24 117 368 118 576 563 1 539 283 137 182 495 234
"1110008L16Rik" 2021 2349 338 1345 0 257 127 146 0 0 0 4 0 0 420 44 130
"1110008P14Rik" 11 246 4 82 124 630 503 488 193 80 0 119 215 29 302 783 643
"1110012L19Rik" 1407 1686 298 678 1400 2429 1966 2517 1757 987 2065 1724 1490 949 2286 3195 3329
"1110015O18Rik" 0 0 0 0 0 0 0 0 0 167 0 0 1 0 0 0 3
"1110017D15Rik" 0 0 0 0 0 50 8 0 7 4 0 0 0 0 0 0 42
"1110018G07Rik" 921 916 6 376 470 352 170 616 269 591 112 329 593 683 234 65 482
"1110019D14Rik" 0 1 0 0 0 0 33 19 40 69 0 121 34 0 23 70 29
"1110020A21Rik" 586 26 0 292 916 564 211 472 619 390 335 204 432 431 517 500 758
"1110025L11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110028F11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110028F18Rik" 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110032A03Rik" 2816 2932 1038 1367 929 2181 2436 2386 757 1164 1313 1577 1982 1577 2507 2120 2415
"1110032F04Rik" 1 0 0 0 0 115 12 22 0 0 38 0 0 0 0 0 43
"1110034G24Rik" 2726 3694 9194 892 1127 994 1128 633 1207 967 563 970 387 923 1275 1098 1441
"1110035M17Rik" 0 0 0 0 0 52 2 0 0 0 0 0 54 0 0 0 3
"1110036E04Rik" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110037F02Rik" 1409 813 1426 1006 1127 935 1419 1399 1390 1785 731 1699 1449 353 1555 841 796
"1110038B12Rik" 626 247 818 13 4742 7282 6481 5394 1397 966 315 600 1072 971 5186 6612 7039
"1110038F14Rik" 1062 1560 1322 860 1220 2032 2202 1488 1164 1169 350 59 1128 532 2084 1888 2432
"1110046J04Rik" 0 1 0 0 0 1 70 0 0 0 0 249 126 94 58 1 34
"1110051M20Rik" 149 32 415 27 3458 3323 3422 3388 4603 1992 1442 2372 2501 1498 4716 5122 3664
"1110054M08Rik" 1 0 0 81 0 6 210 18 745 253 1209 313 1046 385 179 150 234
"1110057K04Rik" 19 283 730 651 728 1092 1372 1430 2492 2311 1228 1799 2096 583 1327 1052 1140
"1110058L19Rik" 4729 4325 2120 4393 5543 11239 7902 7167 2906 4624 4782 4450 4692 3235 7297 7948 10298
"1110059E24Rik" 3024 2903 4606 2041 3582 4951 5379 5067 4583 3965 1501 4266 4379 2150 5175 6203 4966
"1110059G10Rik" 2979 1638 3850 2351 2554 3662 2749 2607 1356 1560 1363 1155 1440 1059 2950 2777 2751
"1110059M19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110065P20Rik" 4 0 0 0 0 0 1 9 44 15 0 0 21 0 2 0 17
"1190002F15Rik" 570 9 114 11 6148 10767 6375 4952 45 1 10 6 123 77 6445 7911 7659
"1190002N15Rik" 0 3 0 0 10 163 18 329 18 1342 108 541 513 580 59 743 113
"1190003J15Rik" 0 0 0 0 68 166 214 80 0 0 1 293 242 137 162 34 102
"1190003K10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1190005I06Rik" 0 0 0 0 0 104 7 0 225 393 146 427 459 96 44 11 4
"1190007I07Rik" 1067 1190 278 613 474 745 569 352 606 188 249 82 397 0 325 502 782
"1200011I18Rik" 756 573 5 56 250 668 514 910 121 649 756 83 60 267 572 37 452
"1200014J11Rik" 308 1059 181 23 6 481 642 740 417 279 144 202 340 325 429 303 426
"1300002E11Rik" 1871 3124 2916 692 1153 1636 1644 1101 656 801 697 254 553 942 1454 1822 1743
"1300002K09Rik" 13 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"1300015D01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1300017J02Rik" 0 0 76 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"1300018J18Rik" 1 104 88 249 0 50 26 88 81 28 1 234 84 107 63 14 10
"1500002O10Rik" 0 0 0 0 0 20 22 40 0 0 0 173 0 0 97 0 0
"1500004A13Rik" 1 1 0 0 154 196 179 407 59 9 122 204 175 95 272 4 182
"1500009C09Rik" 1 0 0 2 190 225 40 26 1617 513 1018 763 504 909 208 198 349
"1500009L16Rik" 0 0 0 0 70 270 211 201 300 240 2 315 0 1 366 475 269
"1500011B03Rik" 61 96 547 382 192 698 778 569 1655 1020 1193 717 1299 676 796 573 489
"1500011K16Rik" 1817 2634 2906 1217 2039 3642 2187 1602 766 1211 1704 1015 1913 1250 3246 3535 2819
"1500012F01Rik" 1577 2016 1146 860 5583 6614 5794 4394 846 812 945 536 1579 928 5344 5037 7143
"1500012K07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1500015A07Rik" 49 914 1 277 26 52 351 103 230 313 432 459 231 210 439 7 375
"1500015L24Rik" 0 0 7 0 0 33 0 0 0 3 0 0 287 0 52 0 0
"1500015O10Rik" 2 0 0 1 0 6 0 51 0 0 0 0 74 0 0 0 37
"1500016L03Rik" 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 26
"1500017E21Rik" 0 0 0 0 0 0 0 0 72 130 0 3 67 105 0 0 6
"1500032L24Rik" 1267 1675 998 1048 1722 1432 1562 1309 1664 990 578 1946 1216 1293 2334 1474 1791
"1600002D24Rik" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"1600002H07Rik" 1 0 19 350 875 403 387 416 2 10 0 0 0 41 560 367 419
"1600002K03Rik" 0 25 677 1 0 193 386 256 141 19 31 201 397 87 513 195 263
"1600010M07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1600012H06Rik" 777 156 620 187 34 311 543 506 992 588 176 899 1478 577 327 1112 304
"1600014C10Rik" 32 1 28 47 33 26 89 64 11 54 0 274 308 0 120 0 105
"1600014C23Rik" 0 0 0 0 0 0 0 0 39 2 213 90 22 72 6 0 0
"1600014K23Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1600015I10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1600016N20Rik" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
"1600019K03Rik" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"1600020E01Rik" 1098 541 510 314 965 1645 691 460 176 916 244 881 323 260 913 707 1172
"1600023N17Rik" 0 0 0 0 0 0 0 0 3 0 3 0 200 308 15 255 0
"1600025M17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1600029D21Rik" 0 0 0 0 0 1 36 0 52 0 0 0 7 22 0 0 24
"1600029I14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1600029O15Rik" 0 0 54 11 0 2 0 1 0 0 0 0 0 0 10 1 21
"1700001C02Rik" 0 0 0 0 0 1 0 0 0 180 0 0 149 0 0 0 0
"1700001C19Rik" 0 81 47 0 0 0 82 0 0 0 0 0 0 0 0 2 0
"1700001D01Rik" 9 179 81 203 0 14 50 57 11 0 0 61 0 0 31 0 24
"1700001F09Rik" 0 0 0 4 0 0 0 0 0 0 0 0 0 6 0 0 0
"1700001G11Rik" 0 0 0 0 0 3 72 177 0 0 0 0 10 0 125 0 19
"1700001G17Rik" 1 0 0 0 0 73 53 65 0 0 0 0 1 0 0 1 46
"1700001J03Rik" 0 0 0 2 0 25 32 20 15 0 0 9 41 130 0 0 35
"1700001J11Rik" 0 0 0 0 0 0 0 0 11 0 0 0 0 0 6 0 0
"1700001K19Rik" 0 32 0 0 0 3 0 0 0 0 0 0 0 0 14 0 10
"1700001K23Rik" 0 44 0 0 0 0 0 0 0 36 0 0 0 131 0 0 0
"1700001L05Rik" 41 0 0 5 0 23 0 5 0 0 0 0 0 0 0 0 0
"1700001L19Rik" 0 0 0 0 0 0 132 217 221 121 158 242 73 0 0 0 25
"1700001O22Rik" 0 52 0 198 0 4 69 18 220 0 0 14 278 0 92 0 26
"1700001P01Rik" 0 0 0 0 0 48 82 18 0 0 0 0 0 57 37 1 11
"1700003C15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700003D09Rik" 0 0 0 0 0 2 0 0 67 0 0 0 9 0 0 0 0
"1700003E16Rik" 0 0 0 1 0 0 4 0 39 1 0 0 0 0 0 0 0
"1700003F12Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0
"1700003F17Rik" 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0
"1700003G13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700003G18Rik" 0 0 0 0 0 4 0 0 9 1 0 0 0 92 3 0 0
"1700003H04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700003L19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700003M02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700003M07Rik" 0 0 0 3 37 31 1 3 795 931 42 614 535 618 0 0 14
"1700003P14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700006A11Rik" 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700006E09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"1700006F04Rik" 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0
"1700006H21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700007B14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700007F19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700007G11Rik" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"1700007J10Rik" 0 0 0 0 0 1 3 0 0 0 0 0 6 0 0 0 0
"1700007K09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700007K13Rik" 0 0 0 0 0 0 0 0 251 257 0 6 0 6 0 0 2
"1700007L15Rik" 0 0 0 295 0 160 107 141 159 72 0 25 171 0 45 174 117
"1700007P06Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700008A04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700008F21Rik" 0 0 0 0 37 0 0 19 5 28 0 0 19 24 0 0 10
"1700008I05Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700008J07Rik" 621 0 0 0 0 106 89 149 0 233 0 0 205 46 91 89 104
"1700008K24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700008O03Rik" 1 0 0 0 19 13 0 2 64 5 0 0 10 0 6 0 16
"1700008P02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700009C05Rik" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700009J07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700009N14Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700009P17Rik" 1 588 0 0 0 75 86 0 319 10 0 345 2 3 0 0 49
"1700010B08Rik" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"1700010D01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700010I02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700010I14Rik" 0 0 0 0 0 20 0 24 370 2 0 0 0 0 147 0 66
"1700010J16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700010K23Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700011A15Rik" 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700011B04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
