Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
axon ensheathment (GO:0008366)	8/62	0.000000002235263665922356	0.0000014842150741724444	-2.170015385343162	29.12296163513405	CLDN11;GJC3;LPAR1;PLP1;MAL;MBP;TSPAN2;ASPA
ensheathment of neurons (GO:0007272)	8/62	0.000000002235263665922356	0.0000014842150741724444	-2.1669734502098104	29.08213696597109	CLDN11;GJC3;LPAR1;PLP1;MAL;MBP;TSPAN2;ASPA
myelination (GO:0042552)	7/59	0.000000040535161416091085	0.00001794356478685632	-2.158645875749649	23.590284424782546	GJC3;LPAR1;PLP1;MAL;MBP;TSPAN2;ASPA
axon development (GO:0061564)	3/20	0.00020846573415976306	0.06921062374104134	-2.836721669516205	7.575751460318035	PLP1;TSPAN2;APOD
tissue regeneration (GO:0042246)	3/28	0.0005138719675889225	0.13648439459161782	-2.5996215735179944	5.177263336828449	GATM;GSN;APOD
cellular response to gamma radiation (GO:0071480)	2/14	0.0029301406634712076	0.2529911325499969	-2.6860133808496753	3.691659047101491	CRYAB;BCL2L1
growth (GO:0040007)	7/329	0.0015790172842251157	0.21841084853354484	-2.398003822985667	3.6482687340504634	SLC12A2;GATM;GSN;PLEKHA1;APOD;FGFR2;BCL2L1
glial cell development (GO:0021782)	3/40	0.0013504451595279477	0.21841084853354484	-2.3594978113467473	3.589686559581556	GSN;PLP1;TSPAN2
astrocyte development (GO:0014002)	2/12	0.0022367028869993027	0.2284878026103903	-2.4121319185885257	3.5609638979823983	PLP1;TSPAN2
developmental growth (GO:0048589)	5/163	0.001644660004017657	0.21841084853354484	-2.28967736748412	3.483463316774378	SLC12A2;GATM;GSN;APOD;FGFR2
central nervous system myelination (GO:0022010)	2/9	0.0013652842077775786	0.21841084853354484	-2.251594280787638	3.4255245707393844	PLP1;ASPA
axon ensheathment in central nervous system (GO:0032291)	2/9	0.0013652842077775786	0.21841084853354484	-2.2350231190440146	3.4003135803745392	PLP1;ASPA
negative regulation of cellular component organization (GO:0051129)	8/474	0.003048085934337312	0.2529911325499969	-2.4702336027126277	3.3950911387580125	GSN;LPAR1;PLXNB3;MBP;APOD;LDLRAD4;FGFR2;BCL2L1
substantia nigra development (GO:0021762)	3/45	0.0018585304586984618	0.2243753135592325	-2.2273132025689644	3.328575078197132	CNP;PLP1;MBP
response to peptide hormone (GO:0043434)	7/364	0.0027614182729701325	0.2529911325499969	-2.4099250297085457	3.3122029853572754	QDPR;GATM;RAB31;GAB1;PRKACB;GNAI1;FGFR2
negative regulation of intracellular transport (GO:0032387)	4/104	0.0022240713300806883	0.2284878026103903	-2.2355459661069186	3.300274921217896	FKBP1A;APOD;CRYAB;LITAF
regulation of digestive system process (GO:0044058)	2/26	0.008873304625951714	0.30430206339412397	-2.620648762038865	3.117876090782172	WNK1;SGK1
response to peptide (GO:1901652)	7/384	0.003690986361170668	0.27502390920312436	-2.4086637829044526	3.10933743555259	QDPR;GATM;RAB31;GAB1;PRKACB;GNAI1;FGFR2
negative regulation of leukocyte migration (GO:0002686)	2/24	0.007679340245221807	0.30430206339412397	-2.55525915950381	3.0400798285424426	IL33;APOD
response to oxidative stress (GO:0006979)	6/290	0.00393483002624952	0.27502390920312436	-2.3427476547359447	3.0242464874610793	GATM;PLEKHA1;GAB1;APOD;RNF7;CRYAB
platelet-derived growth factor receptor signaling pathway (GO:0048008)	2/30	0.0114917921850565	0.30430206339412397	-2.5275508213298292	3.007114264305307	PLEKHA1;GAB1
oligodendrocyte differentiation (GO:0048709)	2/23	0.007111907218042423	0.30430206339412397	-2.4832454827096826	2.9544026770148797	CNP;TSPAN2
