	aNSC_early_1	aNSC_mid_1	aNSC_late_1	NPC_1	aNSC_early_2	aNSC_mid_2	aNSC_late_2	NPC_2	aNSC_early_3	aNSC_mid_3	aNSC_late_3	NPC_3	aNSC_early_4	aNSC_mid_4	aNSC_late_4	NPC_4
Dlx2	0.049623136	0.115771966	0.232857445	0.272516882	0.065033551	0.097430433	0.185743783	0.306398751	0.122941346	0.218010078	0.426931073	0.317991995	0	0.128845935	0.442169856	0.419266781
Dlx1	0.016205602	0.043548998	0.081240798	0.084479102	0.026720768	0.022506848	0.043492239	0.046034516	0.066710233	0.040089315	0.02968367	0.049419417	0	0	0.125245269	0.040259505
Atp1a2	0.907891105	0.264902051	0.135465131	0.101116657	0.350310855	0.270814262	0.186687761	0.123536213	0.369662621	0.22624587	0.218056462	0.073841682	0	0.423067449	0.088618979	0.355414555
Ntsr2	0.010116144	0.073203709	0.031461419	0.016503262	0.072564645	0.055703372	0.049514628	0.025211104	0.107825072	0.059021236	0.019385083	0.024157958	0.229788656	0.235727368	0.0414396	0.008108579
Fgfr3	0.055916337	0.048824631	0.005287207	0.012989182	0.044276886	0.006137302	0.01063045	0.000392864	0.048885075	0.020388668	0	0	0	0.049695502	0	0.042305066
Gja1	0.242838651	0.071488107	0.028556354	0.090179292	0.186796663	0.053472713	0.059610302	0.028379253	0.087000257	0.049354448	0.047752153	0.004975747	0	0	0.015576282	0
Jag1	0.213664209	0.044215824	0.034532188	0.042175772	0.024663505	0.039514298	0.04874992	0.030808309	0.080315418	0.041299055	0.033139333	0.026086516	1.911758565	0	0.005443872	0
Dcx	0	0	0.001280013	0.027975633	0	0.003328828	0.005050739	0.004777532	0	0	0	0	0	0	0	0
Nrxn3	0.019254737	0.024759273	0.030114678	0.054117692	0.026772918	0.013812292	0.030593972	0.079583579	0	0.031231544	0.028418497	0.102992504	0	0	0	0.018902574
Cdk1	0.106850609	0.085467673	0.030432208	0.072960191	0.086017369	0.030396322	0.109431507	0.043222357	0.094048688	0.067657721	0	0.024847471	2.53597E-11	0.362031105	0.201755599	0.532859989
Ccnb1	0.012861717	0.009106971	0.048547065	0.014703972	0.025034942	0.029426333	0.017184838	0.032487687	0.067151759	0.04864615	0.048490465	0.146233466	0.017544854	0	0.128085996	0
Ccna2	0.123591938	0.14658497	0.138681751	0.166915887	0.107163461	0.188207034	0.184260993	0.232404307	0.089327508	0.089296531	0.177116303	0.081608808	1.80145E-12	0	0.307406375	0.012373255
Slc1a3	0.62449718	0.267460001	0.097441322	0.178190352	0.408203991	0.274831104	0.228127048	0.125562634	0.053874949	0.136528189	0.180842011	0.163458081	1.87374E-11	0.20529778	0.137145951	0.210197079
Egfr	0.66113447	0.483890765	0.261186543	0.21154988	0.291306945	0.414820182	0.400879677	0.225023471	0.257450823	0.175199811	0.178968178	0.180892447	1.35251E-11	0.238811156	0.255069421	0.289803666
