"name" "input" "mapped" "4" "5"
"V8" "1-G-C01" "136046" "100581" "Ast_01_1g" "Astrocyte"
"V9" "1-G-C02" "67100" "45371" "Ast_02_1g" "Astrocyte"
"V10" "1-G-C04" "73122" "40063" "Ast_04_1g" "Astrocyte"
"V11" "1-G-C06" "171644" "136490" "Ast_06_1g" "Oligodendrocyte - Like Cell"
"V12" "1-G-C07" "219007" "172356" "Ast_07_1g" "Astrocyte"
"V13" "1-G-C08" "106394" "70165" "Ast_08_1g" "Astrocyte"
"V14" "1-G-C10" "125575" "81086" "Ast_10_1g" "Astrocyte"
"V15" "1-G-C11" "116647" "78216" "Ast_11_1g" "Astrocyte"
"V17" "1-G-C16" "230932" "179270" "Ast_16_1g" "Astrocyte"
"V20" "1-G-C22" "221678" "168521" "Ast_22_1g" "Astrocyte"
"V23" "1-G-C28" "236366" "186915" "Ast_28_1g" "Astrocyte"
"V24" "1-G-C29" "201972" "153383" "Ast_29_1g" "Astrocyte"
"V25" "1-G-C31" "169402" "126477" "Ast_31_1g" "Astrocyte"
"V26" "1-G-C32" "216441" "174288" "Ast_32_1g" "Astrocyte"
"V27" "1-G-C33" "304162" "248638" "Ast_33_1g" "Astrocyte"
"V30" "1-G-C36" "335749" "257454" "Ast_36_1g" "Astrocyte"
"V32" "1-G-C38" "204762" "165833" "Ast_38_1g" "Oligodendrocyte - Like Cell"
"V33" "1-G-C40" "114444" "65664" "Ast_40_1g" "Astrocyte"
"V34" "1-G-C41" "261265" "204765" "Ast_41_1g" "Astrocyte"
"V40" "1-G-C52" "136487" "108215" "Ast_52_1g" "Oligodendrocyte - Like Cell"
"V44" "1-G-C56" "234259" "188849" "Ast_56_1g" "Astrocyte"
"V45" "1-G-C58" "191184" "152504" "Ast_58_1g" "Astrocyte"
"V46" "1-G-C59" "227663" "179347" "Ast_59_1g" "Astrocyte"
"V48" "1-G-C62" "147264" "98636" "Ast_62_1g" "Astrocyte"
